"자치구_코드","자치구_명","엑스좌표_값","와이좌표_값","영역_면적"
"11110","종로구","197997","455039","23990643"
"11140","중구","199639","451178","9990317"
"11170","용산구","198224","447985","21892688"
"11200","성동구","203628","450168","16817016"
"11215","광진구","207577","449693","17049029"
"11230","동대문구","204847","453608","14277373"
"11260","중랑구","208203","455365","18537446"
"11290","성북구","201547","456236","24578799"
"11305","강북구","200988","460427","23638414"
"11320","도봉구","202857","463273","20705585"
"11350","노원구","206623","461433","35589181"
"11380","은평구","193557","457737","29795672"
"11410","서대문구","194617","453140","17687798"
"11440","마포구","191895","451092","23862255"
"11470","양천구","187215","447260","17462673"
"11500","강서구","184345","451315","41456740"
"11530","구로구","187294","443893","20097922"
"11545","금천구","191226","440133","13021079"
"11560","영등포구","192060","446984","24523722"
"11590","동작구","195725","444381","16382215"
"11620","관악구","195164","440885","29578708"
"11650","서초구","202764","441541","46920555"
"11680","강남구","205569","444135","39488793"
"11710","송파구","210194","445134","33853024"
"11740","강동구","212991","450114","24557023"