commercial_district_code,commercial_district_name,latitude,longitude,gu_code,gu_name,dong_code,dong_name,area_size
3110008,배화여자대학교(박노수미술관),126.9670895683088,37.58030943835253,11110,종로구,11110515,청운효자동,149264
3110009,자하문터널,126.96592808590958,37.59507637869068,11110,종로구,11110550,부암동,178306
3110010,평창동서측,126.96674832970702,37.60936632114107,11110,종로구,11110560,평창동,369415
3110017,정독도서관,126.98393465833044,37.583583539469174,11110,종로구,11110600,가회동,83855
3110018,중앙고등학교,126.98735391827724,37.58276405131138,11110,종로구,11110600,가회동,166872
3110020,서울국제고등학교,126.9954484333874,37.58827871837829,11110,종로구,11110650,혜화동,133692
3110001,이북5도청사,126.95766519329227,37.60951658051797,11110,종로구,11110560,평창동,108529
3110002,독립문역 1번,126.95720886112564,37.57574723987454,11110,종로구,11110570,무악동,31531
3110003,세검정초등학교,126.95910679987408,37.60355253658663,11110,종로구,11110550,부암동,191570
3110004,대신고등학교,126.96057237511422,37.57318057632959,11110,종로구,11110580,교남동,18781
3110035,동묘앞역 2번,127.01923329716882,37.57545610038485,11110,종로구,11110710,숭인2동,95779
3110012,성곡미술관,126.96934533653334,37.57330931964528,11110,종로구,11110530,사직동,124348
3110014,경복고등학교,126.97151428391328,37.58512189400342,11110,종로구,11110515,청운효자동,63411
3110016,평창동동측,126.9753885072359,37.61294536602926,11110,종로구,11110560,평창동,522818
3110005,세검정,126.96249418113779,37.60092276960328,11110,종로구,11110550,부암동,244923
3110006,부암동주민센터,126.96264586419525,37.591984983800906,11110,종로구,11110550,부암동,91486
3110007,사직공원(한국사회과학도서관),126.96485097296461,37.573965793267824,11110,종로구,11110530,사직동,80252
3110037,신설동역 12번,127.02206413216838,37.577978389479746,11110,종로구,11110710,숭인2동,55232
3110039,회현역 1번,126.98081640265393,37.55822906707704,11140,중구,11140540,회현동,9928
3110021,성균관대학교,126.99727149747922,37.58353955150116,11110,종로구,11110650,혜화동,77655
3110022,경신고등학교,126.99910555256606,37.587053452651496,11110,종로구,11110650,혜화동,60182
3110023,서울대병원,127.00157360371887,37.578935494743384,11110,종로구,11110640,이화동,15969
3110024,혜회동주민센터,127.00136998074275,37.587287706215974,11110,종로구,11110650,혜화동,52850
3110025,충신시장옆,127.00418850120057,37.57486293640551,11110,종로구,11110630,종로5?6가동,39184
3110027,혜화역 1번,127.00573993541379,37.58211587382123,11110,종로구,11110640,이화동,117673
3110028,이화달팽이길,127.0065092999959,37.57650264132745,11110,종로구,11110640,이화동,159124
3110029,동대문역 1번,127.01057331374025,37.57612392961357,11110,종로구,11110680,창신2동,153230
3110030,동대문역 3번,127.01203322302788,37.57344783562387,11110,종로구,11110670,창신1동,9161
3110031,창신역 1번,127.01469460184781,37.579376077698974,11110,종로구,11110690,창신3동,32878
3110033,창신역 4번,127.01665273399279,37.57760986925303,11110,종로구,11110700,숭인1동,77869
3110057,황학코아루아파트,127.02278510211976,37.56630135637733,11140,중구,11140670,황학동,30230
3110058,성심여자고등학교,126.95416739258842,37.53271444536362,11170,용산구,11170570,원효로2동,135620
3110059,새남터성지,126.95569888787642,37.52575028754142,11170,용산구,11170640,이촌2동,56970
3110036,동묘앞역 3번,127.02018355835784,37.57305028574799,11110,종로구,11110710,숭인2동,18431
3110040,중구회현체육센터(정화예술대남산캠퍼스),126.98211844625749,37.55612994758037,11140,중구,11140540,회현동,76242
3110041,남산케이블카,126.98482325928379,37.5564006254871,11140,중구,11140550,명동,130560
3110042,남산골공원옆,126.99507688426245,37.55658169774501,11140,중구,11140570,필동,72607
3110043,충무초등학교,127.00101862988308,37.56056420346717,11140,중구,11140580,장충동,110058
3110045,동대문역사문화공원역 5번,127.0049121791401,37.56238411905503,11140,중구,11140580,장충동,44820
3110047,다산성곽길,127.00723173486928,37.55500483313109,11140,중구,11140625,다산동,85386
3110048,장충동주민센터,127.00847731320725,37.56099638199899,11140,중구,11140580,장충동,135606
3110049,장충단 고개,127.01016325011474,37.557527410235856,11140,중구,11140625,다산동,70693
3110053,청구역 1번,127.01265387519811,37.56191502489969,11140,중구,11140615,신당동,85550
3110054,청구역 3번,127.0132867887912,37.5567792722277,11140,중구,11140645,청구동,69155
3110055,황학동벼룩시장,127.01858665039832,37.56987904492781,11140,중구,11140670,황학동,27575
3110056,신당역 3번,127.02099573525913,37.562850872583056,11140,중구,11140650,신당5동,129607
3110079,후암동주민센터,126.97920022239718,37.55010179303207,11170,용산구,11170510,후암동,293041
3110080,해방촌예술마을,126.98322952776942,37.5473273581668,11170,용산구,11170510,후암동,134562
3110081,해방촌 남동측,126.98454285856135,37.544119980506025,11170,용산구,11170520,용산2가동,105010
3110050,약수역 7번,127.00982304292711,37.55236472210246,11140,중구,11140635,약수동,34553
3110051,한양공고앞 교차로,127.01128463101034,37.5637171567379,11140,중구,11140615,신당동,44893
3110052,장충초등학교,127.01276666015386,37.55958143097188,11140,중구,11140625,다산동,68893
3110060,효창공원앞역 6번,126.9585767524867,37.53824821820554,11170,용산구,11170590,용문동,94719
3110061,효창동주민센터,126.95936668628885,37.54211378231579,11170,용산구,11170580,효창동,100249
3110062,한강로동땡땡거리(은행나무길),126.96202315666443,37.524986638584856,11170,용산구,11170625,한강로동,132684
3110063,효창공원앞역 5번,126.96268438684383,37.53747472736998,11170,용산구,11170590,용문동,110329
3110064,효창공원앞역 2번,126.96397191654081,37.542331517069975,11170,용산구,11170580,효창동,131550
3110082,용산구청,126.99108467693513,37.53246171216063,11170,용산구,11170650,이태원1동,71140
3110083,서빙고역 1번,126.99175350506796,37.5205595234227,11170,용산구,11170690,서빙고동,58652
3110084,경리단길북측,126.9913551393898,37.54173302689627,11170,용산구,11170660,이태원2동,225725
3110085,경리단길남측,126.99162703817964,37.53875974659307,11170,용산구,11170660,이태원2동,181830
3110065,남정초등학교,126.96429155222101,37.53644808379059,11170,용산구,11170560,원효로1동,18065
3110066,서울역 15번,126.96694307959059,37.55314437161729,11170,용산구,11170555,청파동,133737
3110067,배문고등학교,126.96736357210598,37.54909900636352,11170,용산구,11170555,청파동,204936
3110068,남영역 1번,126.96726543215075,37.54062057647328,11170,용산구,11170560,원효로1동,145312
3110069,숙대입구,126.9678744716527,37.545224851300794,11170,용산구,11170555,청파동,173542
3110070,용산세무서,126.96818911909422,37.52375408705928,11170,용산구,11170625,한강로동,8437
3110071,한강미주맨션아파트,126.96778306850037,37.52096086871952,11170,용산구,11170630,이촌1동,27783
3110073,삼각지역 3번,126.97259826981191,37.53125152806751,11170,용산구,11170625,한강로동,41421
3110074,서울역 12번,126.97415273729469,37.551010804376816,11170,용산구,11170530,남영동,105922
3110075,숙대입구역 1번,126.9737354497403,37.54693819857306,11170,용산구,11170530,남영동,128905
3110077,삼광초등학교,126.97645081947958,37.54847046930043,11170,용산구,11170510,후암동,45797
3110078,이촌동점보아파트,126.97814575970818,37.51826924146274,11170,용산구,11170630,이촌1동,14864
3110110,상왕십리역 6번,127.02777595118324,37.56409284717007,11200,성동구,11200520,왕십리2동,51942
3110087,이태원엔틱가구거리,126.99436573207079,37.53199339365142,11170,용산구,11170650,이태원1동,52542
3110088,오산고등학교,126.99643648116178,37.525154870964045,11170,용산구,11170690,서빙고동,96560
3110089,서빙고동주민센터,126.99624432190274,37.52201036621853,11170,용산구,11170690,서빙고동,105979
3110090,한국폴리텍대학서울정수캠퍼스,126.99699070678436,37.52763264213135,11170,용산구,11170700,보광동,97059
3110092,NH농협은행 보광동지점,126.99988686653968,37.529047253229294,11170,용산구,11170700,보광동,105153
3110093,우사단길,127.00027153219374,37.532326898187094,11170,용산구,11170685,한남동,234768
3110095,한강진역 3번,127.00224029314316,37.537426541732394,11170,용산구,11170685,한남동,149192
3110096,한남힐사이드아파트,127.0029420309497,37.543328076010035,11170,용산구,11170685,한남동,50068
3110098,서울독일학교,127.01077131857866,37.53609259101001,11170,용산구,11170685,한남동,41414
3110099,유엔빌리지길,127.01217403299694,37.53441659338167,11170,용산구,11170685,한남동,263187
3110102,옥수역 6번,127.01610192459853,37.54315582494073,11200,성동구,11200645,옥수동,34682
3110103,옥수터널,127.0164080190828,37.54578670080503,11200,성동구,11200620,금호4가동,19057
3110104,신금호역 4번,127.02016645992701,37.55161558009325,11200,성동구,11200615,금호2?3가동,66838
3110109,금호삼성래미안아파트,127.02620913408614,37.55026289597211,11200,성동구,11200590,금호1가동,29788
3110129,성원어린이공원,127.05022288091031,37.550300173836135,11200,성동구,11200660,성수1가2동,70693
3110130,답십리역 6번,127.05241765359236,37.56554409202081,11200,성동구,11200790,용답동,43065
3110131,성수동카페거리,127.05336339732489,37.54260426552024,11200,성동구,11200670,성수2가1동,131865
3110132,성수2가3동주민센터,127.05394538390803,37.54940654342987,11200,성동구,11200690,성수2가3동,76450
3110136,경수초등학교,127.05995864535373,37.540573851759774,11200,성동구,11200670,성수2가1동,260628
3110105,금동어린이공원,127.02349280272007,37.549119199553864,11200,성동구,11200615,금호2?3가동,69009
3110107,금호사거리,127.02492931657964,37.5471186877979,11200,성동구,11200620,금호4가동,22191
3110112,행당역 2번,127.03141851074179,37.559226552054376,11200,성동구,11200560,행당1동,68591
3110113,응봉산,127.03152728660245,37.54877494821614,11200,성동구,11200580,응봉동,89115
3110114,왕십리파출소,127.03142194280784,37.56739858855162,11200,성동구,11200535,왕십리도선동,27058
3110133,서울교통공사,127.05663741161975,37.56266796519802,11200,성동구,11200790,용답동,80187
3110134,성수119안전센터,127.05727352526394,37.536070183843606,11200,성동구,11200670,성수2가1동,222826
3110135,성동세무서,127.0594564430696,37.549358847126776,11200,성동구,11200720,송정동,136762
3110115,상왕십리역 3번,127.03168143212821,37.56538929826772,11200,성동구,11200535,왕십리도선동,80878
3110116,청계천박물관,127.03501151510875,37.57039789376655,11200,성동구,11200540,마장동,98083
3110117,성동구보건소,127.03536085082358,37.567073116003144,11200,성동구,11200540,마장동,49735
3110118,왕십리역 9번,127.03587710019502,37.55783774584384,11200,성동구,11200560,행당1동,63575
3110120,서울숲카페거리,127.04106609796341,37.54722229826109,11200,성동구,11200660,성수1가2동,34852
3110121,한양대역 4번,127.04186356587266,37.55677259819984,11200,성동구,11200550,사근동,29267
3110122,마장역 2번,127.04414491255056,37.56782699467488,11200,성동구,11200540,마장동,80335
3110123,마장역 3번,127.04501580273998,37.56668240119376,11200,성동구,11200540,마장동,169553
3110124,뚝섬역교차로,127.04527739974368,37.5500589042001,11200,성동구,11200660,성수1가2동,79596
3110125,사근동살곶이상점가,127.04658561903601,37.56101452557501,11200,성동구,11200550,사근동,128923
3110126,서울숲역 1번,127.04654200941053,37.54549034888927,11200,성동구,11200650,성수1가1동,18531
3110127,성수1가1동주민센터,127.0494136424359,37.54156983482148,11200,성동구,11200650,성수1가1동,38774
3110128,성원중학교,127.04992055728603,37.53816384184272,11200,성동구,11200650,성수1가1동,247340
3110157,자양동우체국,127.08072173589979,37.52999274825613,11215,광진구,11215830,자양2동,115158
3110158,중곡3동주민센터,127.08097858537985,37.56872649117577,11215,광진구,11215760,중곡3동,166799
3110159,구의역 4번,127.0808515528512,37.534966184561476,11215,광진구,11215820,자양1동,210895
3110160,광진경찰서,127.08339573336079,37.543758173937306,11215,광진구,11215850,구의1동,47848
3110137,성수초등학교,127.06245263029955,37.54616776510738,11200,성동구,11200690,성수2가3동,330983
3110138,송정체육공원,127.06717551903371,37.550787295336974,11200,성동구,11200720,송정동,102074
3110139,자양4동주민센터,127.06347301482698,37.53512096389572,11215,광진구,11215847,자양4동,155861
3110140,건대입구역 6번,127.06570497470408,37.538597604470354,11215,광진구,11215847,자양4동,179746
3110141,건대입구역 1번,127.06643315762537,37.54314724564189,11215,광진구,11215710,화양동,67458
3110142,화양사거리,127.06821255940088,37.54629972809252,11215,광진구,11215710,화양동,116892
3110144,어린이대공원역 4번,127.07191275197118,37.54617139278924,11215,광진구,11215710,화양동,42830
3110146,신자초등학교,127.07324501528619,37.531520314025855,11215,광진구,11215840,자양3동,106885
3110147,능동우편취급국,127.07377843003759,37.55618033078989,11215,광진구,11215730,군자동,157029
3110148,어린이대공원역 3번,127.07551037056552,37.545331218019335,11215,광진구,11215710,화양동,45757
3110149,세종대학교,127.07616268636023,37.55252076660446,11215,광진구,11215730,군자동,45957
3110150,중곡1동 마을마당,127.0767376585975,37.56142224668868,11215,광진구,11215740,중곡1동,159510
3110151,자양한강도서관,127.07707997341757,37.531139452835596,11215,광진구,11215830,자양2동,107574
3110152,중곡어린이공원,127.07806550149179,37.56488120178216,11215,광진구,11215740,중곡1동,50806
3110153,중곡1동주민센터,127.0794304023093,37.56048342937615,11215,광진구,11215740,중곡1동,50068
3110156,군자역 5번,127.08046441912305,37.55374327045005,11215,광진구,11215780,능동,153696
3110174,아차산역 1번,127.0910365963174,37.55541144781092,11215,광진구,11215770,중곡4동,103458
3110175,푸른동산공원,127.0911663709489,37.541166562279685,11215,광진구,11215870,구의3동,96115
3110178,장로회신학대학교,127.1034188452257,37.548013069290455,11215,광진구,11215810,광장동,45933
3110179,광나루역 1번,127.10322387327058,37.54613015293001,11215,광진구,11215810,광장동,42085
3110154,광진정말공원,127.07897139566221,37.53307535534298,11215,광진구,11215820,자양1동,102102
3110155,광진구청,127.07928228984191,37.53819282960434,11215,광진구,11215820,자양1동,97314
3110161,중곡역 3번,127.08369452966215,37.56810291017622,11215,광진구,11215760,중곡3동,141901
3110162,군자역 4번,127.08278920214391,37.55806645047751,11215,광진구,11215750,중곡2동,70945
3110176,해오름공원,127.09214865556346,37.557816247579865,11215,광진구,11215770,중곡4동,135318
3110177,동의초등학교,127.09516364702064,37.55244391167489,11215,광진구,11215860,구의2동,29079
3110163,성자초등학교,127.08436546700541,37.53069298250582,11215,광진구,11215830,자양2동,66483
3110164,아차산역 5번,127.08522834987414,37.55325338910614,11215,광진구,11215780,능동,85050
3110165,국립정신건강센터,127.08573648594626,37.56214586200675,11215,광진구,11215750,중곡2동,95687
3110166,구의1동주민센터,127.08551989838477,37.54099058656442,11215,광진구,11215850,구의1동,131620
3110167,용마초등학교,127.08601462792421,37.557956025147156,11215,광진구,11215750,중곡2동,154354
3110168,대원고등학교,127.0877298231472,37.563261633023764,11215,광진구,11215770,중곡4동,58514
3110169,성동초등학교,127.08810116387241,37.532573346901124,11215,광진구,11215830,자양2동,75500
3110170,동대부여고,127.08864379358764,37.54176314249194,11215,광진구,11215850,구의1동,120727
3110171,중곡4동주민센터,127.08920842188094,37.55980069876591,11215,광진구,11215770,중곡4동,47879
3110172,광진초등학교,127.08953275126271,37.5470873761971,11215,광진구,11215860,구의2동,95499
3110173,구남초등학교,127.09089919867607,37.53546343842295,11215,광진구,11215870,구의3동,49267
3110180,광진정보도서관,127.10877284422423,37.54899935681124,11215,광진구,11215810,광장동,74699
3110181,신설동역 9번,127.02739410669473,37.57225595717022,11230,동대문구,11230536,용신동,141747
3110182,용두희망어린이공원,127.02739713026659,37.58050906531533,11230,동대문구,11230536,용신동,59118
3110183,한국의류시험연구원,127.0283245035762,37.577977053366055,11230,동대문구,11230536,용신동,43441
3110206,텃골근린공원,127.05182711868238,37.57905927730038,11230,동대문구,11230560,전농1동,100623
3110207,시립대앞사거리,127.05224944885282,37.5840055457555,11230,동대문구,11230560,전농1동,29327
3110208,시조사삼거리,127.05255800941232,37.58809591637845,11230,동대문구,11230710,회기동,42223
3110209,답십리 장령당공원,127.05201326325202,37.569986179498024,11230,동대문구,11230600,답십리1동,27972
3110184,용두사거리,127.02961452237629,37.576598215552956,11230,동대문구,11230536,용신동,24379
3110185,용두초등학교,127.0293986069025,37.57449895224492,11230,동대문구,11230536,용신동,28847
3110186,종암초등학교,127.03044307101194,37.58187782946985,11230,동대문구,11230545,제기동,22890
3110187,제기동역 6번,127.03255763774018,37.576083873726574,11230,동대문구,11230536,용신동,159981
3110188,용두동신동아아파트,127.0325219523249,37.57211950664692,11230,동대문구,11230536,용신동,152517
3110189,제기동역 1번,127.03334040032198,37.57978674126847,11230,동대문구,11230545,제기동,88499
3110190,고대앞사거리,127.03420318826822,37.58501225661796,11230,동대문구,11230545,제기동,101416
3110195,동대문구청,127.04070840517555,37.57615342395652,11230,동대문구,11230536,용신동,115383
3110197,세종대왕기념관교차로,127.04131643081573,37.59070425456956,11230,동대문구,11230705,청량리동,24771
3110199,홍릉시장,127.04263778068552,37.58473921335797,11230,동대문구,11230545,제기동,69877
3110200,동대문경찰서,127.04439291652311,37.585180052932714,11230,동대문구,11230705,청량리동,35357
3110201,전농119안전센터,127.04614211184621,37.57596221631625,11230,동대문구,11230560,전농1동,24149
3110203,떡전교사거리,127.04842332523857,37.58492619031005,11230,동대문구,11230705,청량리동,46180
3110191,고려대역 6번,127.03601597985491,37.58771469603436,11230,동대문구,11230545,제기동,79173
3110193,고려대역 4번,127.03765879988195,37.58989458516888,11230,동대문구,11230545,제기동,67780
3110194,홍파초등학교,127.04018087997777,37.584595916352306,11230,동대문구,11230545,제기동,87946
3110204,간데메공원,127.05088371301225,37.573518572379605,11230,동대문구,11230600,답십리1동,122554
3110205,경희대삼거리,127.0513258738915,37.59099765389255,11230,동대문구,11230710,회기동,88816
3110228,장안근린공원,127.0696432221665,37.5758335619501,11230,동대문구,11230660,장안2동,177937
3110229,장평중학교,127.06999492654315,37.56456190380795,11230,동대문구,11230650,장안1동,205648
3110230,장안현대홈타운1차아파트,127.07158379588344,37.56900286007882,11230,동대문구,11230660,장안2동,79796
3110232,동대부고,127.07347096415802,37.577299862320345,11230,동대문구,11230660,장안2동,104535
3110224,외대앞역 2번,127.06353452878629,37.59425330406559,11230,동대문구,11230720,휘경1동,45770
3110225,촬영소사거리,127.06358153868928,37.569647147721206,11230,동대문구,11230610,답십리2동,54806
3110210,서울시립대,127.05416397669767,37.585617460347805,11230,동대문구,11230560,전농1동,110970
3110211,전곡마을마당공원,127.05465790447084,37.5798238453243,11230,동대문구,11230560,전농1동,126403
3110212,답십리초등학교,127.05645053947013,37.570011170999635,11230,동대문구,11230600,답십리1동,80982
3110213,청량초등학교,127.05666041481288,37.59303145545398,11230,동대문구,11230740,이문1동,35455
3110214,경희대후문,127.056471314137,37.597518483440886,11230,동대문구,11230740,이문1동,79862
3110215,회기역 1번,127.05838017647953,37.59131873274638,11230,동대문구,11230720,휘경1동,51478
3110216,전농중학교,127.0583704812324,37.57890305419834,11230,동대문구,11230570,전농2동,65069
3110217,자동차부품상가,127.05893705293438,37.56520764897779,11230,동대문구,11230610,답십리2동,56649
3110218,답십리사거리,127.05816024441098,37.57059598801341,11230,동대문구,11230610,답십리2동,82160
3110219,삼육보건대학교,127.06017759350853,37.587713860831755,11230,동대문구,11230730,휘경2동,179445
3110220,외대앞역 1번,127.06118009171786,37.59521860885541,11230,동대문구,11230740,이문1동,98625
3110221,의릉,127.06111932250863,37.60398528040108,11290,성북구,11290810,석관동,47130
3110226,장안1동주민센터,127.06660322921046,37.568960725192056,11230,동대문구,11230650,장안1동,285861
3110227,답십리공원,127.06701717715495,37.57615943992586,11230,동대문구,11230610,답십리2동,55458
3110254,오거리공원,127.08299094516109,37.57668988738031,11260,중랑구,11260570,면목7동,165615
3110255,상봉역 4번,127.0827833599205,37.593691768235416,11260,중랑구,11260590,상봉2동,191245
3110233,중랑역 1번,127.07391960683593,37.59596815056542,11260,중랑구,11260610,중화2동,124330
3110234,중랑역 4번,127.07362308419515,37.59382397632805,11260,중랑구,11260610,중화2동,58421
3110236,신묵초등학교,127.07492901956759,37.60887870447146,11260,중랑구,11260630,묵2동,180650
3110237,메가박스 상봉,127.07474165969481,37.591408615387756,11260,중랑구,11260520,면목2동,124410
3110238,배꽃어린이공원,127.07551271298087,37.603706651767816,11260,중랑구,11260610,중화2동,29174
3110243,중랑노인종합복지관,127.0779878628827,37.58811789372319,11260,중랑구,11260520,면목2동,128302
3110244,중화역 4번,127.07827562121437,37.60341653482143,11260,중랑구,11260610,중화2동,63066
3110245,KB국민은행 중화동지점,127.0787672252466,37.59708224403993,11260,중랑구,11260610,중화2동,62374
3110246,월드순복음교회,127.07893279696668,37.593027672289224,11260,중랑구,11260590,상봉2동,87353
3110247,먹골역 1번,127.07929071096504,37.610200308625146,11260,중랑구,11260620,묵1동,148439
3110248,먹골파출소,127.08049665488883,37.61523601878214,11260,중랑구,11260620,묵1동,37643
3110249,중화역 1번,127.08007714819284,37.60427126674587,11260,중랑구,11260600,중화1동,170317
3110250,화랑대역 7번,127.08183593250513,37.61775786420861,11260,중랑구,11260620,묵1동,39367
3110240,태릉시장 특화거리,127.07679791399993,37.598056612126726,11260,중랑구,11260610,중화2동,45536
3110241,먹골역 5번,127.07734066163741,37.60822843634927,11260,중랑구,11260630,묵2동,99076
3110242,면목5동주민센터,127.07819937597111,37.58466695176947,11260,중랑구,11260550,면목5동,105010
3110251,장안중학교,127.08204261261062,37.59968387623888,11260,중랑구,11260600,중화1동,90556
3110252,장안제일시장,127.0816305342528,37.58527730400473,11260,중랑구,11260550,면목5동,121544
3110253,중곡초등학교,127.08256817561062,37.57314927575237,11260,중랑구,11260540,면목4동,86503
3110277,러스크서울병원,127.10268520613624,37.598874850037376,11260,중랑구,11260655,망우본동,118173
3110278,망우본동주민센터,127.10352681954076,37.60150500683647,11260,중랑구,11260655,망우본동,137523
3110272,신내1동주민센터,127.09842568909319,37.60615847906632,11260,중랑구,11260680,신내1동,146352
3110273,장스여성병원,127.09873541769939,37.600581092452465,11260,중랑구,11260680,신내1동,69230
3110256,면목2동체육관,127.0826206130532,37.589871676851374,11260,중랑구,11260520,면목2동,221861
3110257,상봉역 7번,127.08586900294162,37.598699074518215,11260,중랑구,11260580,상봉1동,114328
3110258,면동초등학교,127.08584343751289,37.58630144712347,11260,중랑구,11260565,면목본동,111432
3110259,사가정역 1번,127.08609919438236,37.582264812341826,11260,중랑구,11260575,면목3?8동,86298
3110260,면목역 3번,127.08622084620522,37.58958078442301,11260,중랑구,11260565,면목본동,65941
3110261,사가정역 4번,127.08825666448381,37.57810062863918,11260,중랑구,11260570,면목7동,109503
3110262,상봉역 3번,127.08888734246219,37.5943810926847,11260,중랑구,11260590,상봉2동,121975
3110263,면목역 1번,127.08983537331045,37.59178551911678,11260,중랑구,11260565,면목본동,152104
3110264,면목역 2번,127.09159619054651,37.58726118530816,11260,중랑구,11260565,면목본동,216948
3110265,망우역 1번,127.0926528164819,37.59935166722568,11260,중랑구,11260580,상봉1동,164846
3110266,면목동우체국,127.09163646470414,37.5831706467708,11260,중랑구,11260575,면목3?8동,114047
3110267,망우역 2번,127.08941586511447,37.60077772897528,11260,중랑구,11260580,상봉1동,125682
3110268,망우3동주민센터,127.09444384127862,37.591844991057506,11260,중랑구,11260660,망우3동,71237
3110269,용마문화복지센터,127.09494877873335,37.5882316079015,11260,중랑구,11260575,면목3?8동,50066
3110270,혜원여고,127.09729711212769,37.59177960411285,11260,중랑구,11260660,망우3동,35644
3110271,신내역 1번,127.0989590897488,37.615555346402026,11260,중랑구,11260680,신내1동,112596
3110274,서일대학교,127.09875482708568,37.58956195338933,11260,중랑구,11260575,면목3?8동,164098
