year_quarter_code,service_code,major_category_code,major_category_code_name,middle_category_code,middle_category_code_name,service_name,store_count,franchise_store_count
20211,CS100002,C01,외식업,C0101,음식(식사),중식음식점,5097,365
20211,CS100007,C01,외식업,C0101,음식(식사),치킨전문점,2472,3850
20211,CS200004,C02,서비스업,C0201,학원,컴퓨터학원,344,5
20211,CS200007,C02,서비스업,C0202,의원,치과의원,4982,2
20211,CS200011,C02,서비스업,C0204,기타 서비스,변리사사무소,762,3
20211,CS200012,C02,서비스업,C0204,기타 서비스,법무사사무소,2346,0
20211,CS200014,C02,서비스업,C0204,기타 서비스,회계사사무소,943,0
20211,CS200031,C02,서비스업,C0204,기타 서비스,세탁소,4293,1015
20211,CS200045,C02,서비스업,C0204,기타 서비스,비디오/서적임대,208,51
20211,CS300007,C03,도소매업,C0301,생활소매,육류판매,6610,24
20211,CS300012,C03,도소매업,C0303,잡화소매,한복점,535,1
20211,CS300028,C03,도소매업,C0303,잡화소매,화초,4891,6
20211,CS300029,C03,도소매업,C0303,잡화소매,애완동물,1749,44
20211,CS300030,C03,도소매업,C0303,잡화소매,중고가구,143,3
20211,CS300034,C03,도소매업,C0303,잡화소매,악기,808,2
20211,CS300039,C03,도소매업,C0302,전자소매,모터사이클및부품,636,1
20211,CS100006,C01,외식업,C0101,음식(식사),패스트푸드점,3133,2703
20211,CS200001,C02,서비스업,C0201,학원,일반교습학원,14188,1295
20211,CS200017,C02,서비스업,C0203,여가/미용,골프연습장,1473,67
20211,CS200021,C02,서비스업,C0203,여가/미용,기타오락장,1170,47
20211,CS200026,C02,서비스업,C0204,기타 서비스,자동차미용,1443,38
20211,CS200028,C02,서비스업,C0203,여가/미용,미용실,17070,1199
20211,CS200029,C02,서비스업,C0203,여가/미용,네일숍,3742,72
20211,CS200030,C02,서비스업,C0203,여가/미용,피부관리실,5342,160
20211,CS200033,C02,서비스업,C0204,기타 서비스,부동산중개업,34313,10
20211,CS200038,C02,서비스업,C0204,기타 서비스,독서실,2349,376
20211,CS200047,C02,서비스업,C0204,기타 서비스,가정용품임대,622,2
20211,CS300009,C03,도소매업,C0301,생활소매,청과상,7141,28
20211,CS300011,C03,도소매업,C0303,잡화소매,일반의류,42024,132
20211,CS300013,C03,도소매업,C0303,잡화소매,유아의류,5709,15
20211,CS300018,C03,도소매업,C0303,잡화소매,의약품,8376,510
20211,CS300022,C03,도소매업,C0303,잡화소매,화장품,16305,1244
20211,CS300033,C03,도소매업,C0302,전자소매,철물점,3029,11
20211,CS100003,C01,외식업,C0101,음식(식사),일식음식점,5745,736
20211,CS100005,C01,외식업,C0102,제과/커피,제과점,3725,1941
20211,CS200003,C02,서비스업,C0201,학원,예술학원,7110,300
20211,CS200008,C02,서비스업,C0202,의원,한의원,3763,0
20211,CS200022,C02,서비스업,C0204,기타 서비스,복권방,625,0
20211,CS300016,C03,도소매업,C0303,잡화소매,안경,1985,517
20211,CS300019,C03,도소매업,C0303,잡화소매,의료기기,2520,15
20211,CS300035,C03,도소매업,C0303,잡화소매,인테리어,5116,10
20211,CS300038,C03,도소매업,C0302,전자소매,자동차부품,3262,30
20211,CS300043,C03,도소매업,C0302,전자소매,전자상거래업,49400,127
20211,CS100001,C01,외식업,C0101,음식(식사),한식음식점,55916,6040
20211,CS100004,C01,외식업,C0101,음식(식사),양식음식점,7384,742
20211,CS200006,C02,서비스업,C0202,의원,일반의원,9151,37
20211,CS200023,C02,서비스업,C0204,기타 서비스,통신기기수리,624,2
20211,CS200027,C02,서비스업,C0204,기타 서비스,모터사이클수리,649,1
20211,CS200036,C02,서비스업,C0204,기타 서비스,고시원,470,2
20211,CS200041,C02,서비스업,C0204,기타 서비스,사진관,4729,11
20211,CS200043,C02,서비스업,C0204,기타 서비스,건축물청소,3314,65
20211,CS300010,C03,도소매업,C0301,생활소매,반찬가게,8528,177
20211,CS300032,C03,도소매업,C0302,전자소매,가전제품,4025,8
20211,CS300037,C03,도소매업,C0303,잡화소매,중고차판매,750,5
20211,CS300041,C03,도소매업,C0303,잡화소매,예술품,1721,2
20211,CS100010,C01,외식업,C0102,제과/커피,커피-음료,14360,5494
20211,CS200013,C02,서비스업,C0204,기타 서비스,기타법무서비스,1516,0
20211,CS200016,C02,서비스업,C0203,여가/미용,당구장,3693,50
20211,CS200018,C02,서비스업,C0203,여가/미용,볼링장,143,0
20211,CS200035,C02,서비스업,C0204,기타 서비스,게스트하우스,978,17
20211,CS200044,C02,서비스업,C0204,기타 서비스,여행사,5865,9
20211,CS300005,C03,도소매업,C0301,생활소매,주류도매,912,3
20211,CS300021,C03,도소매업,C0303,잡화소매,문구,3852,415
20211,CS300023,C03,도소매업,C0303,잡화소매,미용재료,1780,6
20211,CS300025,C03,도소매업,C0302,전자소매,자전거 및 기타운송장비,813,0
20211,CS300040,C03,도소매업,C0303,잡화소매,재생용품 판매점,1189,0
20211,CS300042,C03,도소매업,C0303,잡화소매,주유소,1013,1
20211,CS200002,C02,서비스업,C0201,학원,외국어학원,3266,262
20211,CS200010,C02,서비스업,C0204,기타 서비스,변호사사무소,3703,1
20211,CS200019,C02,서비스업,C0203,여가/미용,PC방,1390,98
20211,CS200024,C02,서비스업,C0203,여가/미용,스포츠클럽,2385,138
20211,CS300004,C03,도소매업,C0302,전자소매,핸드폰,5393,48
20211,CS300006,C03,도소매업,C0301,생활소매,미곡판매,3015,5
20211,CS300008,C03,도소매업,C0301,생활소매,수산물판매,4973,6
20211,CS300026,C03,도소매업,C0303,잡화소매,완구,1001,13
20211,CS300031,C03,도소매업,C0303,잡화소매,가구,3406,3
20211,CS100009,C01,외식업,C0103,호프간이주점,호프-간이주점,8970,1364
20211,CS200009,C02,서비스업,C0202,의원,동물병원,886,11
20211,CS200032,C02,서비스업,C0204,기타 서비스,가전제품수리,2448,0
20211,CS200042,C02,서비스업,C0204,기타 서비스,통번역서비스,1185,4
20211,CS200046,C02,서비스업,C0204,기타 서비스,의류임대,533,2
20211,CS300001,C03,도소매업,C0301,생활소매,슈퍼마켓,12159,365
20211,CS300003,C03,도소매업,C0302,전자소매,컴퓨터및주변장치판매,10005,8
20211,CS300015,C03,도소매업,C0303,잡화소매,가방,3029,8
20211,CS300017,C03,도소매업,C0303,잡화소매,시계및귀금속,5307,70
20211,CS300027,C03,도소매업,C0303,잡화소매,섬유제품,3610,13
20211,CS100008,C01,외식업,C0101,음식(식사),분식전문점,11461,2713
20211,CS200005,C02,서비스업,C0201,학원,스포츠 강습,4642,190
20211,CS200015,C02,서비스업,C0204,기타 서비스,세무사사무소,5593,1
20211,CS200020,C02,서비스업,C0203,여가/미용,전자게임장,287,5
20211,CS200025,C02,서비스업,C0204,기타 서비스,자동차수리,4045,362
20211,CS200034,C02,서비스업,C0204,기타 서비스,여관,2739,14
20211,CS200037,C02,서비스업,C0203,여가/미용,노래방,6088,135
20211,CS200039,C02,서비스업,C0203,여가/미용,DVD방,190,0
20211,CS200040,C02,서비스업,C0204,기타 서비스,녹음실,836,3
20211,CS300002,C03,도소매업,C0301,생활소매,편의점,807,10331
20211,CS300014,C03,도소매업,C0303,잡화소매,신발,4368,46
20211,CS300020,C03,도소매업,C0303,잡화소매,서적,3820,57
20211,CS300024,C03,도소매업,C0303,잡화소매,운동/경기용품,3902,9
20211,CS300036,C03,도소매업,C0303,잡화소매,조명용품,9127,9
20212,CS100002,C01,외식업,C0101,음식(식사),중식음식점,5200,366
20212,CS100007,C01,외식업,C0101,음식(식사),치킨전문점,2425,3788
20212,CS200004,C02,서비스업,C0201,학원,컴퓨터학원,349,5
20212,CS200007,C02,서비스업,C0202,의원,치과의원,5005,2
20212,CS200011,C02,서비스업,C0204,기타 서비스,변리사사무소,768,3
20212,CS200012,C02,서비스업,C0204,기타 서비스,법무사사무소,2372,0
20212,CS200014,C02,서비스업,C0204,기타 서비스,회계사사무소,949,0
20212,CS200031,C02,서비스업,C0204,기타 서비스,세탁소,4321,1013
20212,CS200045,C02,서비스업,C0204,기타 서비스,비디오/서적임대,206,51
20212,CS300007,C03,도소매업,C0301,생활소매,육류판매,6661,24
20212,CS300012,C03,도소매업,C0303,잡화소매,한복점,536,0
20212,CS300028,C03,도소매업,C0303,잡화소매,화초,4930,6
20212,CS300029,C03,도소매업,C0303,잡화소매,애완동물,1785,43
20212,CS300030,C03,도소매업,C0303,잡화소매,중고가구,142,3
20212,CS300034,C03,도소매업,C0303,잡화소매,악기,815,1
20212,CS300039,C03,도소매업,C0302,전자소매,모터사이클및부품,641,1
20212,CS100006,C01,외식업,C0101,음식(식사),패스트푸드점,3295,2743
20212,CS200001,C02,서비스업,C0201,학원,일반교습학원,14383,1332
20212,CS200017,C02,서비스업,C0203,여가/미용,골프연습장,1496,68
20212,CS200021,C02,서비스업,C0203,여가/미용,기타오락장,1128,43
20212,CS200026,C02,서비스업,C0204,기타 서비스,자동차미용,1472,36
20212,CS200028,C02,서비스업,C0203,여가/미용,미용실,17146,1216
20212,CS200029,C02,서비스업,C0203,여가/미용,네일숍,3885,74
20212,CS200030,C02,서비스업,C0203,여가/미용,피부관리실,5441,167
20212,CS200033,C02,서비스업,C0204,기타 서비스,부동산중개업,34936,10
20212,CS200038,C02,서비스업,C0204,기타 서비스,독서실,2363,383
20212,CS200047,C02,서비스업,C0204,기타 서비스,가정용품임대,641,2
20212,CS300009,C03,도소매업,C0301,생활소매,청과상,7174,28
20212,CS300011,C03,도소매업,C0303,잡화소매,일반의류,41804,133
20212,CS300013,C03,도소매업,C0303,잡화소매,유아의류,5808,15
20212,CS300018,C03,도소매업,C0303,잡화소매,의약품,8413,511
20212,CS300022,C03,도소매업,C0303,잡화소매,화장품,16326,1211
20212,CS300033,C03,도소매업,C0302,전자소매,철물점,3031,11
20212,CS100003,C01,외식업,C0101,음식(식사),일식음식점,5958,734
20212,CS100005,C01,외식업,C0102,제과/커피,제과점,3843,1936
20212,CS200003,C02,서비스업,C0201,학원,예술학원,7214,299
20212,CS200008,C02,서비스업,C0202,의원,한의원,3771,0
20212,CS200022,C02,서비스업,C0204,기타 서비스,복권방,618,0
20212,CS300016,C03,도소매업,C0303,잡화소매,안경,1979,516
20212,CS300019,C03,도소매업,C0303,잡화소매,의료기기,2525,16
20212,CS300035,C03,도소매업,C0303,잡화소매,인테리어,5123,12
20212,CS300038,C03,도소매업,C0302,전자소매,자동차부품,3296,26
20212,CS300043,C03,도소매업,C0302,전자소매,전자상거래업,55250,124
20212,CS100001,C01,외식업,C0101,음식(식사),한식음식점,56412,5981
20212,CS100004,C01,외식업,C0101,음식(식사),양식음식점,7624,739
20212,CS200006,C02,서비스업,C0202,의원,일반의원,9210,38
20212,CS200023,C02,서비스업,C0204,기타 서비스,통신기기수리,626,2
20212,CS200027,C02,서비스업,C0204,기타 서비스,모터사이클수리,653,1
20212,CS200036,C02,서비스업,C0204,기타 서비스,고시원,491,2
20212,CS200041,C02,서비스업,C0204,기타 서비스,사진관,4856,11
20212,CS200043,C02,서비스업,C0204,기타 서비스,건축물청소,3455,66
20212,CS300010,C03,도소매업,C0301,생활소매,반찬가게,8682,183
20212,CS300032,C03,도소매업,C0302,전자소매,가전제품,4016,8
20212,CS300037,C03,도소매업,C0303,잡화소매,중고차판매,752,5
20212,CS300041,C03,도소매업,C0303,잡화소매,예술품,1763,3
20212,CS100010,C01,외식업,C0102,제과/커피,커피-음료,14772,5603
20212,CS200013,C02,서비스업,C0204,기타 서비스,기타법무서비스,1568,0
20212,CS200016,C02,서비스업,C0203,여가/미용,당구장,3732,53
20212,CS200018,C02,서비스업,C0203,여가/미용,볼링장,143,0
20212,CS200035,C02,서비스업,C0204,기타 서비스,게스트하우스,980,18
20212,CS200044,C02,서비스업,C0204,기타 서비스,여행사,5849,9
20212,CS300005,C03,도소매업,C0301,생활소매,주류도매,920,3
20212,CS300021,C03,도소매업,C0303,잡화소매,문구,3871,409
20212,CS300023,C03,도소매업,C0303,잡화소매,미용재료,1794,6
20212,CS300025,C03,도소매업,C0302,전자소매,자전거 및 기타운송장비,819,0
20212,CS300040,C03,도소매업,C0303,잡화소매,재생용품 판매점,1196,0
20212,CS300042,C03,도소매업,C0303,잡화소매,주유소,1007,1
20212,CS200002,C02,서비스업,C0201,학원,외국어학원,3280,255
20212,CS200010,C02,서비스업,C0204,기타 서비스,변호사사무소,3773,1
20212,CS200019,C02,서비스업,C0203,여가/미용,PC방,1340,96
20212,CS200024,C02,서비스업,C0203,여가/미용,스포츠클럽,2466,136
20212,CS300004,C03,도소매업,C0302,전자소매,핸드폰,5404,50
20212,CS300006,C03,도소매업,C0301,생활소매,미곡판매,3029,5
20212,CS300008,C03,도소매업,C0301,생활소매,수산물판매,5021,6
20212,CS300026,C03,도소매업,C0303,잡화소매,완구,1000,14
20212,CS300031,C03,도소매업,C0303,잡화소매,가구,3435,3
20212,CS100009,C01,외식업,C0103,호프간이주점,호프-간이주점,8624,1314
20212,CS200009,C02,서비스업,C0202,의원,동물병원,899,11
20212,CS200032,C02,서비스업,C0204,기타 서비스,가전제품수리,2506,0
20212,CS200042,C02,서비스업,C0204,기타 서비스,통번역서비스,1229,4
20212,CS200046,C02,서비스업,C0204,기타 서비스,의류임대,532,2
20212,CS300001,C03,도소매업,C0301,생활소매,슈퍼마켓,12208,377
20212,CS300003,C03,도소매업,C0302,전자소매,컴퓨터및주변장치판매,10057,8
20212,CS300015,C03,도소매업,C0303,잡화소매,가방,3046,7
20212,CS300017,C03,도소매업,C0303,잡화소매,시계및귀금속,5336,69
20212,CS300027,C03,도소매업,C0303,잡화소매,섬유제품,3614,13
20212,CS100008,C01,외식업,C0101,음식(식사),분식전문점,11466,2672
20212,CS200005,C02,서비스업,C0201,학원,스포츠 강습,4779,188
20212,CS200015,C02,서비스업,C0204,기타 서비스,세무사사무소,5648,1
20212,CS200020,C02,서비스업,C0203,여가/미용,전자게임장,298,4
20212,CS200025,C02,서비스업,C0204,기타 서비스,자동차수리,4008,361
20212,CS200034,C02,서비스업,C0204,기타 서비스,여관,2663,17
20212,CS200037,C02,서비스업,C0203,여가/미용,노래방,6013,134
20212,CS200039,C02,서비스업,C0203,여가/미용,DVD방,191,0
20212,CS200040,C02,서비스업,C0204,기타 서비스,녹음실,850,3
20212,CS300002,C03,도소매업,C0301,생활소매,편의점,819,10429
20212,CS300014,C03,도소매업,C0303,잡화소매,신발,4334,47
20212,CS300020,C03,도소매업,C0303,잡화소매,서적,3852,57
20212,CS300024,C03,도소매업,C0303,잡화소매,운동/경기용품,3949,9
20212,CS300036,C03,도소매업,C0303,잡화소매,조명용품,9173,9
20213,CS100002,C01,외식업,C0101,음식(식사),중식음식점,5241,361
20213,CS100007,C01,외식업,C0101,음식(식사),치킨전문점,2385,3787
20213,CS200004,C02,서비스업,C0201,학원,컴퓨터학원,358,5
20213,CS200007,C02,서비스업,C0202,의원,치과의원,4999,2
20213,CS200011,C02,서비스업,C0204,기타 서비스,변리사사무소,769,3
20213,CS200012,C02,서비스업,C0204,기타 서비스,법무사사무소,2378,0
20213,CS200014,C02,서비스업,C0204,기타 서비스,회계사사무소,949,0
20213,CS200031,C02,서비스업,C0204,기타 서비스,세탁소,4314,1002
20213,CS200045,C02,서비스업,C0204,기타 서비스,비디오/서적임대,207,53
20213,CS300007,C03,도소매업,C0301,생활소매,육류판매,6688,25
20213,CS300012,C03,도소매업,C0303,잡화소매,한복점,530,0
20213,CS300028,C03,도소매업,C0303,잡화소매,화초,4955,6
20213,CS300029,C03,도소매업,C0303,잡화소매,애완동물,1809,42
20213,CS300030,C03,도소매업,C0303,잡화소매,중고가구,145,3
20213,CS300034,C03,도소매업,C0303,잡화소매,악기,813,1
20213,CS300039,C03,도소매업,C0302,전자소매,모터사이클및부품,654,2
20213,CS100006,C01,외식업,C0101,음식(식사),패스트푸드점,3436,2746
20213,CS200001,C02,서비스업,C0201,학원,일반교습학원,14683,1350
20213,CS200017,C02,서비스업,C0203,여가/미용,골프연습장,1519,76
20213,CS200021,C02,서비스업,C0203,여가/미용,기타오락장,1102,40
20213,CS200026,C02,서비스업,C0204,기타 서비스,자동차미용,1501,37
20213,CS200028,C02,서비스업,C0203,여가/미용,미용실,17226,1217
20213,CS200029,C02,서비스업,C0203,여가/미용,네일숍,3978,76
20213,CS200030,C02,서비스업,C0203,여가/미용,피부관리실,5496,169
20213,CS200033,C02,서비스업,C0204,기타 서비스,부동산중개업,35489,10
20213,CS200038,C02,서비스업,C0204,기타 서비스,독서실,2388,375
20213,CS200047,C02,서비스업,C0204,기타 서비스,가정용품임대,663,2
20213,CS300009,C03,도소매업,C0301,생활소매,청과상,7213,27
20213,CS300011,C03,도소매업,C0303,잡화소매,일반의류,41719,133
20213,CS300013,C03,도소매업,C0303,잡화소매,유아의류,5985,14
20213,CS300018,C03,도소매업,C0303,잡화소매,의약품,8423,515
20213,CS300022,C03,도소매업,C0303,잡화소매,화장품,16344,1190
20213,CS300033,C03,도소매업,C0302,전자소매,철물점,3013,11
20213,CS100003,C01,외식업,C0101,음식(식사),일식음식점,6069,726
20213,CS100005,C01,외식업,C0102,제과/커피,제과점,3911,1921
20213,CS200003,C02,서비스업,C0201,학원,예술학원,7324,306
20213,CS200008,C02,서비스업,C0202,의원,한의원,3778,0
20213,CS200022,C02,서비스업,C0204,기타 서비스,복권방,642,0
20213,CS300016,C03,도소매업,C0303,잡화소매,안경,1972,518
20213,CS300019,C03,도소매업,C0303,잡화소매,의료기기,2546,15
20213,CS300035,C03,도소매업,C0303,잡화소매,인테리어,5113,12
20213,CS300038,C03,도소매업,C0302,전자소매,자동차부품,3299,26
20213,CS300043,C03,도소매업,C0302,전자소매,전자상거래업,61408,136
20213,CS100001,C01,외식업,C0101,음식(식사),한식음식점,56631,5934
20213,CS100004,C01,외식업,C0101,음식(식사),양식음식점,7883,726
20213,CS200006,C02,서비스업,C0202,의원,일반의원,9298,39
20213,CS200023,C02,서비스업,C0204,기타 서비스,통신기기수리,627,2
20213,CS200027,C02,서비스업,C0204,기타 서비스,모터사이클수리,657,1
20213,CS200036,C02,서비스업,C0204,기타 서비스,고시원,513,2
20213,CS200041,C02,서비스업,C0204,기타 서비스,사진관,4955,11
20213,CS200043,C02,서비스업,C0204,기타 서비스,건축물청소,3561,67
20213,CS300010,C03,도소매업,C0301,생활소매,반찬가게,8796,182
20213,CS300032,C03,도소매업,C0302,전자소매,가전제품,4013,8
20213,CS300037,C03,도소매업,C0303,잡화소매,중고차판매,755,5
20213,CS300041,C03,도소매업,C0303,잡화소매,예술품,1799,3
20213,CS100010,C01,외식업,C0102,제과/커피,커피-음료,14973,5697
20213,CS200013,C02,서비스업,C0204,기타 서비스,기타법무서비스,1607,0
20213,CS200016,C02,서비스업,C0203,여가/미용,당구장,3721,52
20213,CS200018,C02,서비스업,C0203,여가/미용,볼링장,142,0
20213,CS200035,C02,서비스업,C0204,기타 서비스,게스트하우스,987,17
20213,CS200044,C02,서비스업,C0204,기타 서비스,여행사,5845,9
20213,CS300005,C03,도소매업,C0301,생활소매,주류도매,927,3
20213,CS300021,C03,도소매업,C0303,잡화소매,문구,3883,406
20213,CS300023,C03,도소매업,C0303,잡화소매,미용재료,1791,6
20213,CS300025,C03,도소매업,C0302,전자소매,자전거 및 기타운송장비,820,0
20213,CS300040,C03,도소매업,C0303,잡화소매,재생용품 판매점,1198,0
20213,CS300042,C03,도소매업,C0303,잡화소매,주유소,1004,1
20213,CS200002,C02,서비스업,C0201,학원,외국어학원,3294,255
20213,CS200010,C02,서비스업,C0204,기타 서비스,변호사사무소,3829,1
20213,CS200019,C02,서비스업,C0203,여가/미용,PC방,1338,92
20213,CS200024,C02,서비스업,C0203,여가/미용,스포츠클럽,2524,138
20213,CS300004,C03,도소매업,C0302,전자소매,핸드폰,5399,50
